iter	R2	RMSE
0	0.05353220126	0.138095411
1	0.1045458399	0.1343222645
2	0.1525994709	0.1306684354
3	0.1982469858	0.1271003148
4	0.2416200429	0.1236145946
5	0.2820196158	0.1202770078
6	0.3201796518	0.1170370605
7	0.3559560812	0.1139158271
8	0.390469481	0.1108215075
9	0.4226493757	0.1078564559
10	0.4534120441	0.1049436958
11	0.4819893995	0.1021634733
12	0.5087900936	0.09948552224
13	0.5342466008	0.09687335532
14	0.5580298379	0.09436757631
15	0.5794641796	0.09205085415
16	0.6005921668	0.08970871064
17	0.620594289	0.08743357929
18	0.6393990875	0.08523927288
19	0.6576089438	0.0830591594
20	0.6743411681	0.08100424082
21	0.6901268378	0.07901659439
22	0.7052644916	0.07706240457
23	0.7193997281	0.07519178061
24	0.732857494	0.07336650376
25	0.7452431069	0.07164556264
26	0.7571004815	0.06995836526
27	0.7683986588	0.068311978
28	0.7788966156	0.066745812
29	0.7888702487	0.065223041
30	0.7981948652	0.06376647823
31	0.8071526485	0.06233517243
32	0.815805485	0.06092067019
33	0.8238337091	0.05957824842
34	0.8313148866	0.05829948313
35	0.8383756958	0.05706629273
36	0.8451089183	0.05586496514
37	0.8515290087	0.05469493742
38	0.8574319768	0.05359661843
39	0.8630708079	0.05252600233
40	0.8684950283	0.05147512523
41	0.8734779931	0.05049046398
42	0.8784337981	0.04949174309
43	0.8829589033	0.04856188286
44	0.8872118373	0.0476714198
45	0.8914834705	0.04675997536
46	0.8954294376	0.04590194069
47	0.8990278359	0.04510525661
48	0.9024266	0.04433962799
49	0.9057036987	0.0435886737
50	0.9087527983	0.0428781563
51	0.9116631828	0.04218880259
52	0.9143612455	0.04153952221
53	0.9169626116	0.04090375388
54	0.9194303197	0.04029138032
55	0.9217949654	0.03969571986
56	0.9240674695	0.03911472329
57	0.9261865848	0.03856505683
58	0.9282086778	0.03803315048
59	0.9301556311	0.03751388341
60	0.9319792569	0.03702090334
61	0.9337203408	0.0365440317
62	0.9353040351	0.03610479829
63	0.9368101175	0.03568207483
64	0.9382820024	0.03526405413
65	0.93969721	0.0348574031
66	0.9409247367	0.03450079945
67	0.9421132091	0.03415199379
68	0.9432685364	0.03380946666
69	0.9443575042	0.03348340583
70	0.9454169644	0.03316310364
71	0.9464677186	0.03284234824
72	0.9474158412	0.03255020971
73	0.9483096457	0.03227238636
74	0.9492473877	0.0319783113
75	0.9500772715	0.03171578626
76	0.9507911827	0.03148819666
77	0.9514769598	0.03126801615
78	0.9521295205	0.03105705096
79	0.9527432947	0.03085730871
80	0.9533069208	0.03067274068
81	0.9539241485	0.03046933744
82	0.9545088429	0.03027539496
83	0.9549811579	0.03011781672
84	0.9555994614	0.02991027766
85	0.9562421752	0.02969300753
86	0.9569097049	0.02946565232
87	0.9575024396	0.02926229105
88	0.9580806907	0.02906252774
89	0.9586276139	0.0288723152
90	0.9591533763	0.02868827319
91	0.9596569456	0.028510886
92	0.9601493443	0.02833636002
93	0.9606158422	0.02817001689
94	0.9610395554	0.02801807397
95	0.9614045629	0.02788651911
96	0.9618246365	0.02773434517
97	0.9621889538	0.02760168993
98	0.962510174	0.02748419608
99	0.9628545108	0.02735768641
100	0.963189244	0.0272341418
101	0.9634871192	0.02712372766
102	0.9637699909	0.02701845724
103	0.9640538816	0.02691239362
104	0.9643289552	0.02680922383
105	0.964578528	0.02671527372
106	0.9648240528	0.02662252392
107	0.9650425152	0.02653972477
108	0.9652171805	0.02647333877
109	0.9654388552	0.02638884521
110	0.9656285851	0.02631631225
111	0.9658271222	0.02624019767
112	0.9660691648	0.02614710436
113	0.9663055744	0.02605585655
114	0.9664991333	0.02598090932
115	0.9666543255	0.0259206614
116	0.9668115951	0.02585946379
117	0.9669281331	0.02581402235
118	0.9670674462	0.025759595
119	0.9672174494	0.02570086237
120	0.9673335397	0.02565531575
121	0.9674268236	0.02561865831
122	0.9675491044	0.02557052645
123	0.9676848079	0.02551700486
124	0.9677933253	0.02547412463
125	0.9679004545	0.025431722
126	0.9680020882	0.02539142904
127	0.9681073528	0.02534962916
128	0.9682468133	0.02529414384
129	0.9683513816	0.02525246067
130	0.9684252617	0.02522296895
131	0.9685383022	0.02517777821
132	0.968637383	0.02513810135
133	0.9687210204	0.02510455999
134	0.9688032233	0.02507155023
135	0.9689134303	0.02502722666
136	0.9689772905	0.0250015071
137	0.9690635894	0.02496670829
138	0.9691344087	0.02493811518
139	0.9692116863	0.02490687706
140	0.9692809947	0.024878827
141	0.9693250396	0.02486098496
142	0.9693995824	0.02483075944
143	0.9694707001	0.02480188836
144	0.9695445877	0.02477185718
145	0.9696210678	0.02474073387
146	0.9696667998	0.02472210472
147	0.9697249442	0.02469839899
148	0.9698039172	0.02466616483
149	0.969868897	0.02463961063
150	0.969949955	0.02460644586
151	0.9699848131	0.02459216995
152	0.9700525655	0.02456439867
153	0.9701150603	0.02453875459
154	0.9701578429	0.02452118374
155	0.9701977208	0.02450479453
156	0.9702231571	0.02449433483
157	0.9702706966	0.02447477413
158	0.9703235914	0.0244529915
159	0.9703716515	0.02443318301
160	0.9704401357	0.02440492873
161	0.9704839906	0.02438681849
162	0.9705250757	0.02436983984
163	0.9706031692	0.02433753462
164	0.9706534395	0.02431671639
165	0.9706883431	0.02430225145
166	0.9707400008	0.02428082733
167	0.9707820428	0.02426337721
168	0.9708334331	0.02424202987
169	0.9708716351	0.02422614873
170	0.9709062707	0.02421174116
171	0.9709466627	0.02419492825
172	0.9709936443	0.02417535777
173	0.9710359479	0.02415772235
174	0.9710993376	0.02413127252
175	0.971123677	0.02412110901
176	0.9711566766	0.02410732237
177	0.9711902803	0.02409327525
178	0.9712366483	0.02407387889
179	0.9712599573	0.02406412253
180	0.9712837747	0.02405414927
181	0.9713037611	0.02404577701
182	0.9713461193	0.02402802361
183	0.9714081863	0.02400198602
184	0.9714424702	0.02398759155
185	0.9714722483	0.02397508187
186	0.9715129266	0.02395798248
187	0.9715522902	0.02394142412
188	0.971577067	0.02393099586
189	0.971617861	0.02391381622
190	0.9716379309	0.02390535962
191	0.971665676	0.02389366408
192	0.9717010742	0.02387873417
193	0.971749183	0.02385842836
194	0.9717862351	0.02384277758
195	0.9718094711	0.02383295744
196	0.9718345037	0.02382237353
197	0.9718828106	0.02380193577
198	0.9719119314	0.02378960681
199	0.9719262421	0.0237835457
200	0.9719662724	0.02376658324
201	0.9720210636	0.02374334628
202	0.9720462906	0.02373263984
203	0.9720715477	0.02372191583
204	0.9721032866	0.02370843276
205	0.9721356641	0.02369467053
206	0.9721892533	0.02367187453
207	0.9722050252	0.02366516126
208	0.9722386303	0.02365085092
209	0.9722753359	0.02363521039
210	0.9722898599	0.02362901872
211	0.9722990354	0.02362510631
212	0.9723180391	0.02361700117
213	0.9723450311	0.02360548417
214	0.9723640328	0.02359737316
215	0.9724093526	0.02357801671
216	0.9724444004	0.02356303663
217	0.972485945	0.02354526736
218	0.9724991299	0.02353962517
219	0.9725313545	0.02352582965
220	0.9725428997	0.02352088512
221	0.9725880482	0.02350153912
222	0.9726043536	0.0234945484
223	0.9726249714	0.02348570582
224	0.9726438362	0.02347761213
225	0.9726574238	0.02347178083
226	0.9726927355	0.02345661955
227	0.9727090342	0.02344961833
228	0.9727242185	0.02344309388
229	0.9727537349	0.02343040601
230	0.9727710026	0.02342298016
231	0.9727948046	0.02341274043
232	0.9728163951	0.02340344822
233	0.972856478	0.02338618737
234	0.9728883988	0.02337243226
235	0.9729208854	0.02335842497
236	0.972949043	0.02334627749
237	0.972993978	0.02332687887
238	0.9730142027	0.02331814253
239	0.9730359853	0.02330872958
240	0.9730592502	0.02329867186
241	0.9730985632	0.02328166649
242	0.9731335529	0.02326652075
243	0.9731487683	0.0232599315
244	0.9731687455	0.02325127725
245	0.9731979605	0.02323861533
246	0.9732222299	0.02322809161
247	0.973242443	0.02321932314
248	0.9732796342	0.02320318085
249	0.9733167245	0.0231870712
250	0.9733235452	0.02318410752
251	0.9733507961	0.0231722628
252	0.9733883987	0.02315590876
253	0.9733988836	0.02315134664
254	0.973411862	0.02314569828
255	0.9734308058	0.0231374513
256	0.9734376036	0.02313449122
257	0.9734510061	0.02312865403
258	0.97345767	0.02312575115
259	0.9734853449	0.02311369174
260	0.9735043871	0.0231053904
261	0.973526675	0.02309567031
262	0.9735376823	0.02309086836
263	0.9735599263	0.02308116133
264	0.9735833656	0.02307092823
265	0.97360312	0.02306230042
266	0.9736243174	0.02305303871
267	0.9736558871	0.02303923823
268	0.9736749252	0.02303091183
269	0.9737097053	0.02301569283
270	0.973722017	0.0230103031
271	0.9737473297	0.02299921788
272	0.9737672012	0.02299051182
273	0.9738024802	0.02297504731
274	0.9738447929	0.02295648584
275	0.9738744014	0.02294348842
276	0.9738943143	0.02293474302
277	0.9739272721	0.02292026115
278	0.9739543849	0.02290834076
279	0.9739792807	0.02289738966
280	0.9739990091	0.02288870783
281	0.9740187308	0.02288002565
282	0.9740424797	0.02286956618
283	0.9740574434	0.02286297345
284	0.9740726149	0.0228562872
285	0.9740845295	0.02285103495
286	0.9741012051	0.02284368188
287	0.9741142539	0.02283792642
288	0.9741351793	0.02282869375
289	0.9741618966	0.02281690014
290	0.9741703575	0.02281316402
291	0.9741804585	0.02280870293
292	0.9741987798	0.02280060908
293	0.974224755	0.02278912901
294	0.9742425565	0.02278125804
295	0.974261408	0.02277291988
296	0.9742801549	0.02276462496
297	0.9742960806	0.02275757597
298	0.9743192397	0.02274732142
299	0.9743470971	0.02273498042
300	0.9743738096	0.02272314028
301	0.9743993307	0.02271182252
302	0.9744086626	0.02270768269
303	0.9744237431	0.02270099111
304	0.9744306859	0.02269790974
305	0.9744456947	0.02269124708
306	0.9744540356	0.02268754359
307	0.9744576382	0.02268594379
308	0.974477551	0.0226770991
309	0.9744865041	0.02267312127
310	0.9745020528	0.02266621137
311	0.9745341039	0.02265196108
312	0.9745523587	0.02264384079
313	0.9745749656	0.02263378054
314	0.9745995496	0.02262283536
315	0.9746092068	0.02261853435
316	0.9746185035	0.02261439315
317	0.9746257007	0.02261118665
318	0.9746377388	0.02260582237
319	0.9746433807	0.0226033079
320	0.9746591866	0.02259626197
321	0.9746717178	0.02259067427
322	0.9746859723	0.02258431649
323	0.9746999849	0.02257806484
324	0.9747256699	0.02256660112
325	0.9747335443	0.02256308543
326	0.9747396892	0.02256034154
327	0.9747629063	0.02254997143
328	0.9747749805	0.02254457647
329	0.9747803095	0.02254219496
330	0.9747854374	0.02253990311
331	0.9747976173	0.0225344585
332	0.9748034734	0.02253184029
333	0.9748253095	0.02252207474
334	0.9748488065	0.02251156174
335	0.9748723065	0.02250104243
336	0.9748853046	0.02249522198
337	0.9748911951	0.02249258378
338	0.9749015016	0.02248796701
339	0.9749152189	0.02248182088
340	0.9749253014	0.02247730228
341	0.9749294498	0.02247544286
342	0.9749341748	0.02247332482
343	0.9749489967	0.02246667937
344	0.9749582144	0.02246254563
345	0.9749727381	0.02245603078
346	0.9749844861	0.02245075962
347	0.9749979227	0.02244472933
348	0.9750107547	0.02243896885
349	0.9750310828	0.02242984022
350	0.9750513202	0.02242074867
351	0.9750607779	0.02241649856
352	0.9750715132	0.02241167335
353	0.9750856211	0.02240533067
354	0.9751038175	0.02239714726
355	0.9751124649	0.02239325723
356	0.9751345321	0.0223833272
357	0.9751514217	0.02237572412
358	0.9751577151	0.0223728904
359	0.975178756	0.02236341367
360	0.9751922322	0.02235734199
361	0.9752043652	0.02235187402
362	0.975221893	0.02234397248
363	0.9752412729	0.02233523275
364	0.9752474561	0.02233244356
365	0.9752490829	0.02233170969
366	0.9752563504	0.02232843088
367	0.9752665289	0.02232383791
368	0.9752808713	0.02231736441
369	0.9752899847	0.02231325009
370	0.9752978155	0.02230971419
371	0.9753134926	0.02230263369
372	0.9753294148	0.02229544019
373	0.9753352664	0.02229279591
374	0.9753415027	0.02228997747
375	0.9753552484	0.02228376389
376	0.9753675066	0.02227822128
377	0.9753781359	0.02227341408
378	0.9753923183	0.02226699832
379	0.975401363	0.02226290576
380	0.9754068126	0.02226043953
381	0.9754294724	0.02225018194
382	0.9754371186	0.02224671961
383	0.9754415726	0.02224470253
384	0.9754596352	0.02223652059
385	0.9754682553	0.02223261482
386	0.9754756468	0.02222926519
387	0.9754887652	0.02222331902
388	0.9754970637	0.02221955677
389	0.9755144449	0.02221167461
390	0.9755250584	0.02220686014
391	0.9755290974	0.02220502772
392	0.9755397906	0.02220017569
393	0.9755549329	0.022193303
394	0.9755621313	0.02219003508
395	0.9755788223	0.02218245596
396	0.9755861441	0.02217913039
397	0.9755916005	0.02217665177
398	0.9755947381	0.02217522638
399	0.9756072928	0.02216952187
400	0.9756233269	0.02216223433
401	0.9756340039	0.02215738026
402	0.9756482566	0.02215089889
403	0.9756631032	0.02214414546
404	0.9756815853	0.02213573546
405	0.9756924092	0.02213080869
406	0.9757042371	0.02212542368
407	0.9757210386	0.02211777208
408	0.9757308889	0.02211328486
409	0.9757378833	0.02211009807
410	0.9757447739	0.02210695814
411	0.9757534552	0.0221030016
412	0.9757677102	0.02209650328
413	0.97577339	0.02209391353
414	0.9757807118	0.02209057465
415	0.9757887592	0.02208690428
416	0.9757961374	0.02208353863
417	0.975804413	0.022079763
418	0.9758219097	0.02207177819
419	0.9758346613	0.02206595708
420	0.9758496883	0.02205909523
421	0.97586523	0.02205199612
422	0.975869976	0.02204982781
423	0.975876964	0.02204663478
424	0.9758894854	0.02204091227
425	0.9758971899	0.02203739038
426	0.9759150772	0.02202921163
427	0.975928872	0.02202290203
428	0.9759345864	0.0220202878
429	0.9759465792	0.02201480029
430	0.9759763295	0.02200118165
431	0.9759889087	0.02199542082
432	0.9759944126	0.02199289974
433	0.9759982602	0.02199113716
434	0.9760116771	0.02198498983
435	0.9760153724	0.02198329639
436	0.9760285894	0.02197723851
437	0.976037235	0.02197327496
438	0.9760448141	0.02196979977
439	0.9760534075	0.02196585879
440	0.9760654957	0.02196031395
441	0.9760806991	0.02195333816
442	0.9760852694	0.02195124072
443	0.9760885991	0.02194971249
444	0.9760944415	0.02194703079
445	0.9761084357	0.021940606
446	0.9761152069	0.02193749666
447	0.9761237508	0.02193357265
