iter	Passed	Remaining
0	233	701433
1	551	826284
2	719	718792
3	881	659944
4	1081	648109
5	1257	627282
6	1407	601976
7	1562	584198
8	1729	574766
9	1904	569371
10	2068	562138
11	2234	556465
12	2409	553732
13	2588	552039
14	2733	544024
15	2912	543157
16	3073	539330
17	3237	536338
18	3424	537318
19	3650	543912
20	3840	544790
21	4018	543916
22	4174	540326
23	4355	540072
24	4516	537447
25	4683	535726
26	4860	535229
27	5024	533309
28	5191	531814
29	5358	530477
30	5529	529608
31	5698	528496
32	5879	528621
33	6100	532182
34	6316	535136
35	6501	535303
36	6678	534854
37	6852	534152
38	7019	532916
39	7194	532374
40	7371	531984
41	7553	532014
42	7717	530681
43	7895	530464
44	8055	528957
45	8228	528412
46	8415	528758
47	8612	529668
48	8774	528423
49	8943	527674
50	9113	526961
51	9275	525840
52	9432	524501
53	9607	524130
54	9767	523020
55	9930	522086
56	10101	521540
57	10266	520770
58	10424	519628
59	10596	519240
60	10766	518720
61	10967	519719
62	11159	520256
63	11335	520034
64	11519	520162
65	11725	521252
66	11888	520444
67	12063	520164
68	12236	519779
69	12391	518687
70	12546	517581
71	12707	516763
72	12882	516527
73	13060	516400
74	13225	515793
75	13441	517154
76	13649	518140
77	13818	517653
78	13970	516542
79	14123	515504
80	14317	515968
81	14491	515690
82	14674	515714
83	14857	515770
84	15046	516000
85	15247	516632
86	15413	516075
87	15597	516135
88	15780	516139
89	15981	516729
90	16167	516814
91	16332	516233
92	16531	516727
93	16706	516476
94	16882	516250
95	17050	515770
96	17218	515297
97	17398	515199
98	17563	514672
99	17720	513893
100	17874	513058
101	18030	512277
102	18195	511757
103	18396	512262
104	18585	512433
105	18741	511689
106	18919	511521
107	19086	511084
108	19237	510243
109	19416	510117
110	19591	509899
111	19767	509723
112	19977	510388
113	20175	510755
114	20364	510885
115	20556	511067
116	20761	511585
117	20971	512194
118	21173	512623
119	21395	513487
120	21535	512395
121	21675	511321
122	21865	511441
123	22060	511652
124	22257	511917
125	22418	511352
126	22591	511067
127	22738	510202
128	22956	510907
129	23121	510461
130	23333	511010
131	23553	511749
132	23747	511905
133	23916	511519
134	24098	511428
135	24520	516373
136	24755	517341
137	24944	517321
138	25119	517018
139	25319	517238
140	25512	517297
141	25681	516878
142	25910	517673
143	26108	517809
144	26306	517964
145	26496	517946
146	26658	517396
147	26836	517149
148	27037	517346
149	27263	518011
150	27476	518412
151	27662	518303
152	27858	518385
153	28036	518136
154	28244	518431
155	28383	517455
156	28587	517662
157	28789	517846
158	28970	517644
159	29130	517058
160	29314	516926
161	29472	516313
162	29658	516202
163	29841	516044
164	30013	515694
165	30198	515551
166	30371	515217
167	30554	515057
168	30749	515097
169	30970	515571
170	31142	515212
171	31310	514806
172	31504	514821
173	31673	514413
174	31865	514396
175	32033	513993
176	32195	513488
177	32391	513529
178	32552	513018
179	32743	512978
180	32924	512789
181	33119	512801
182	33322	512950
183	33532	513195
184	33703	512846
185	33858	512240
186	34060	512361
187	34245	512220
188	34389	511480
189	34609	511859
190	34772	511385
191	34947	511111
192	35143	511124
193	35318	510843
194	35543	511281
195	35767	511700
196	36002	512260
197	36205	512368
198	36399	512329
199	36586	512215
200	36765	511969
201	36977	512191
202	37182	512306
203	37382	512363
204	37533	511737
205	37745	511942
206	37933	511830
207	38140	511957
208	38373	512436
209	38574	512493
210	38738	512040
211	38898	511552
212	39083	511393
213	39267	511215
214	39428	510734
215	39606	510479
216	39809	510558
217	40006	510545
218	40213	510655
219	40385	510324
220	40571	510169
221	40784	510360
222	40990	510448
223	41215	510776
224	41385	510422
225	41570	510249
226	41725	509709
227	41882	509201
228	42041	508720
229	42231	508609
230	42431	508624
231	42592	508170
232	42771	507937
233	42921	507359
234	43082	506903
235	43271	506791
236	43457	506631
237	43636	506404
238	43845	506512
239	44031	506364
240	44209	506112
241	44389	505892
242	44557	505537
243	44738	505327
244	44938	505324
245	45115	505068
246	45283	504714
247	45464	504508
248	45700	504903
249	45903	504941
250	46118	505098
251	46343	505367
252	46542	505339
253	46732	505231
254	46932	505215
255	47114	505007
256	47293	504767
257	47476	504574
258	47668	504480
259	47840	504162
260	48042	504167
261	48266	504403
262	48486	504594
263	48670	504400
264	48883	504516
265	49097	504629
266	49319	504835
267	49505	504661
268	49670	504280
269	49813	503674
270	50009	503596
271	50197	503449
272	50383	503277
273	50539	502817
274	50776	503151
275	51001	503364
276	51220	503515
277	51414	503416
278	51590	503146
279	51790	503105
280	51942	502599
281	52114	502297
282	52340	502505
283	52494	502028
284	52675	501805
285	52864	501659
286	53035	501346
287	53252	501457
288	53470	501584
289	53704	501860
290	53885	501637
291	54072	501465
292	54258	501292
293	54450	501165
294	54615	500800
295	54797	500580
296	55013	500679
297	55196	500470
298	55440	500814
299	55708	501374
300	56001	502151
301	56292	502907
302	56532	503193
303	56802	503749
304	57059	504177
305	57283	504322
306	57519	504562
307	57793	505132
308	57997	505087
309	58237	505349
310	58510	505902
311	58760	506244
312	59036	506805
313	59256	506888
314	59606	508072
315	59847	508328
316	60032	508094
317	60200	507727
318	60404	507659
319	60573	507300
320	60783	507286
321	60960	506995
322	61152	506831
323	61371	506885
324	61599	507013
325	61818	507066
326	61966	506533
327	62147	506276
328	62370	506359
329	62544	506044
330	62805	506430
331	63012	506374
332	63197	506152
333	63402	506080
334	63596	505926
335	63799	505839
336	64027	505949
337	64252	506039
338	64436	505798
339	64588	505313
340	64759	504969
341	64952	504809
342	65143	504627
343	65344	504523
344	65534	504329
345	65750	504337
346	65931	504083
347	66134	503988
348	66365	504112
349	66590	504186
350	66796	504117
351	66978	503857
352	67170	503683
353	67389	503711
354	67663	504142
355	67928	504499
356	68158	504604
357	68349	504414
358	68549	504290
359	68731	504032
360	68960	504115
361	69199	504273
362	69403	504180
363	69605	504062
364	69846	504232
365	70018	503904
366	70225	503823
367	70463	503970
368	70705	504135
369	70927	504158
370	71208	504598
371	71494	505074
372	71719	505115
373	71941	505126
374	72119	504835
375	72329	504766
376	72518	504550
377	72736	504536
378	72930	504357
379	73118	504135
380	73303	503890
381	73498	503716
382	73715	503688
383	73885	503345
384	74078	503154
385	74305	503200
386	74511	503098
387	74718	503003
388	74901	502744
389	75081	502469
390	75245	502084
391	75432	501858
392	75627	501683
393	75817	501472
394	76000	501217
395	76179	500935
396	76370	500736
397	76552	500475
398	76790	500579
399	77014	500591
400	77215	500455
401	77407	500259
402	77601	500074
403	77782	499810
404	77989	499711
405	78173	499460
406	78359	499228
407	78567	499135
408	78740	498815
409	78925	498579
410	79137	498505
411	79375	498601
412	79602	498624
413	79833	498667
414	80045	498596
415	80241	498420
416	80458	498380
417	80677	498348
418	80907	498384
419	81139	498425
420	81391	498593
421	81612	498572
422	81854	498675
423	82114	498884
424	82351	498952
425	82571	498919
426	82811	499003
427	83012	498850
428	83189	498552
429	83394	498427
430	83565	498098
431	83735	497762
432	83912	497468
433	84134	497437
434	84330	497257
435	84559	497273
436	84776	497215
437	84956	496937
438	85147	496723
439	85338	496516
440	85524	496276
441	85756	496301
442	85988	496327
443	86198	496226
444	86386	495992
445	86621	496032
446	86814	495831
447	87067	495975
448	87288	495929
449	87531	496013
450	87727	495827
451	87905	495539
452	88079	495230
453	88266	494991
454	88452	494748
455	88639	494516
456	88828	494293
457	88996	493951
458	89196	493785
459	89418	493748
460	89672	493878
461	89881	493766
462	90081	493601
463	90316	493628
464	90531	493542
465	90700	493210
466	90896	493022
467	91109	492925
468	91301	492716
469	91482	492450
470	91684	492292
471	91869	492045
472	92169	492416
473	92370	492253
474	92612	492306
475	92826	492215
476	93035	492091
477	93230	491897
478	93399	491567
479	93572	491257
480	93785	491156
481	93986	490989
482	94216	490978
483	94385	490648
484	94584	490472
485	94804	490408
486	94972	490072
487	95133	489701
488	95309	489412
489	95475	489069
490	95672	488884
491	95823	488465
492	96010	488230
493	96169	487854
494	96360	487644
495	96532	487335
496	96722	487116
497	96905	486863
498	97160	486972
499	97374	486870
500	97561	486639
501	97820	486763
502	98008	486534
503	98213	486392
504	98422	486264
505	98792	486934
506	99045	487022
507	99264	486941
508	99444	486671
509	99713	486838
510	99972	486950
511	100176	486796
512	100363	486557
513	100533	486236
514	100716	485980
515	100898	485718
516	101069	485405
517	101246	485124
518	101404	484749
519	101543	484286
520	101756	484172
521	101932	483884
522	102190	483988
523	102397	483847
524	102593	483652
525	102797	483501
526	102993	483308
527	103184	483091
528	103381	482901
529	103563	482645
530	103746	482390
531	103930	482144
532	104108	481866
533	104295	481636
534	104504	481500
535	104788	481713
536	104973	481472
537	105164	481252
538	105364	481080
539	105573	480943
540	105718	480519
541	105941	480451
542	106159	480355
543	106363	480197
544	106546	479947
545	106712	479618
546	106886	479327
547	107106	479244
548	107334	479192
549	107504	478882
550	107680	478602
551	107889	478464
552	108073	478221
553	108249	477941
554	108485	477922
555	108676	477705
556	108845	477397
557	109033	477168
558	109208	476884
559	109424	476779
560	109661	476762
561	109886	476694
562	110084	476510
563	110301	476407
564	110456	476039
565	110671	475925
566	110855	475683
567	111041	475445
568	111219	475173
569	111391	474877
570	111576	474638
571	111769	474432
572	111991	474353
573	112225	474316
574	112428	474156
575	112615	473925
576	112804	473700
577	113018	473581
578	113192	473297
579	113382	473078
580	113582	472901
581	113800	472799
582	114010	472664
583	114192	472411
584	114356	472085
585	114543	471856
586	114774	471806
587	114941	471495
588	115137	471300
589	115284	470909
590	115491	470757
591	115652	470422
592	115828	470151
593	116040	470021
594	116213	469738
595	116426	469613
596	116609	469366
597	116834	469293
598	117090	469340
599	117285	469143
600	117469	468900
601	117652	468655
602	117852	468476
603	118047	468282
604	118261	468158
605	118460	467979
606	118657	467787
607	118854	467598
608	119063	467455
609	119239	467184
610	119485	467185
611	119706	467091
612	119876	466795
613	120022	466407
614	120253	466348
615	120443	466130
616	120668	466049
617	120874	465894
618	121118	465884
619	121334	465767
620	121546	465633
621	121768	465538
622	122001	465484
623	122183	465236
624	122366	464992
625	122575	464846
626	122878	465058
627	123221	465416
628	123430	465269
629	123605	464990
630	123818	464860
631	124006	464630
632	124200	464426
633	124481	464545
634	124693	464407
635	124868	464133
